Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
22822858,A Little Life,Hanya Yanagihara,"Yanagihara, Hanya",,385539258,9780385539258,4,4.28,Doubleday,Hardcover,720,2015,2015,2021/08/15,2021/08/15,,,read,,,,1,0
2165,The Old Man and the Sea,Ernest Hemingway,"Hemingway, Ernest",,684830493,9780684830490,0,3.81,Scribner,Hardcover,96,1996,1952,,2021/08/20,,,read,,,,1,0
16101128,"The 5th Wave (The 5th Wave, #1)",Rick Yancey,"Yancey, Rick",,399162410,9780399162411,0,4.00,G.P. Putnam's Sons Books for Young Readers,Hardcover,457,2013,2013,,2021/08/20,,,read,,,,1,0
6482837,Before I Fall,Lauren Oliver,"Oliver, Lauren",,61726818,9780061726811,0,3.88,HarperCollins,Paperback,470,2010,2010,,2021/08/20,,,read,,,,1,0
26032825,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,"Black, Holly",,316310271,9780316310277,0,4.01,"Little, Brown Books for Young Readers",Hardcover,370,2018,2018,,2021/08/20,,,read,,,,1,0
7735333,"Matched (Matched, #1)",Ally Condie,"Condie, Ally",,525423648,9780525423645,0,3.62,Dutton Books for Young Readers,Hardcover,369,2010,2010,,2021/08/20,,,read,,,,1,0
4374400,"If I Stay (If I Stay, #1)",Gayle Forman,"Forman, Gayle",,525421033,9780525421030,0,3.91,Viking,Hardcover,208,2009,2009,,2021/08/20,,,read,,,,1,0
1656001,"The Host (The Host, #1)",Stephenie Meyer,"Meyer, Stephenie",,316068047,9780316068048,0,3.86,"Little, Brown and Company",Hardcover,619,2008,2008,,2021/08/20,,,read,,,,1,0
6186357,"The Maze Runner (The Maze Runner, #1)",James Dashner,"Dashner, James",,385737947,9780385737944,0,4.05,Delacorte Press,Hardcover,384,2009,2009,,2021/08/20,,,read,,,,1,0
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,60935464,9780060935467,0,4.26,Harper Perennial Modern Classics ,Paperback,323,2006,1960,,2021/08/20,,,read,,,,1,0
41865,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,"Meyer, Stephenie",,316015849,9780316015844,0,3.67,"Little, Brown and Company",Paperback,498,2006,2005,,2021/08/10,,,read,,,,1,0
49041,"New Moon (The Twilight Saga, #2)",Stephenie Meyer,"Meyer, Stephenie",,316160199,9780316160193,0,3.62,"Little, Brown and Company",Hardcover,563,2006,2006,,2021/08/10,,,read,,,,1,0
7624,Lord of the Flies,William Golding,"Golding, William",,140283331,9780140283334,0,3.70,Penguin Books ,Paperback,182,1999,1954,,2021/08/20,,,read,,,,1,0
428263,"Eclipse (The Twilight Saga, #3)",Stephenie Meyer,"Meyer, Stephenie",,316160202,9780316160209,0,3.74,"Little, Brown and Company",Hardcover,629,2007,2007,,2021/08/10,,,read,,,,1,0
170448,Animal Farm,George Orwell,"Orwell, George","Russell Baker, C.M. Woodhouse",451526341,9780451526342,0,4.01,Signet Classics,Mass Market Paperback,141,1996,1945,,2021/08/20,,,read,,,,1,0
452306,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,"Brashares, Ann",,385729332,9780385729338,0,3.85,Delacorte Press,Hardcover,294,2001,2001,,2021/08/20,,,read,,,,1,0
39280444,Speak,Laurie Halse Anderson,"Anderson, Laurie Halse",,374311250,9780374311254,4,4.05,"Farrar, Straus and Giroux (BYR)",Hardcover,224,2019,1999,,2021/08/10,,,read,,,,1,0
890,Of Mice and Men,John Steinbeck,"Steinbeck, John",,142000671,9780142000670,0,3.89,Penguin Books,Paperback,107,2002,1937,,2021/08/20,,,read,,,,1,0
20821111,"The Young Elites (The Young Elites, #1)",Marie Lu,"Lu, Marie",,399167838,9780399167836,0,3.86,G.P. Putnam’s Sons Books for Young Readers,Hardcover,355,2014,2014,,2021/08/20,,,read,,,,1,0
13623848,The Song of Achilles,Madeline Miller,"Miller, Madeline",,,,5,4.31,Ecco,Paperback,408,2012,2011,,2021/08/10,,,read,,,,2,0
9275658,"Legend (Legend, #1)",Marie Lu,"Lu, Marie",,,,0,4.15,Putnam Juvenile,Hardcover,305,2011,2011,,2021/08/20,,,read,,,,1,0
13335037,"Divergent (Divergent, #1)",Veronica Roth,"Roth, Veronica",,62024035,9780062024039,0,4.13,Katherine Tegen Books,Paperback,487,2012,2011,,2021/08/10,,,read,,,,1,0
6304335,"Beautiful Creatures (Caster Chronicles, #1)",Kami Garcia,"Garcia, Kami",Margaret Stohl,316042676,9780316042673,0,3.77,"Little, Brown and Company",Hardcover,563,2009,2009,,2021/08/20,,,read,,,,1,0
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,439023491,9780439023498,5,4.35,Scholastic Press,Hardcover,391,2009,2009,,2021/08/10,,,read,,,,1,0
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,439023483,9780439023481,5,4.35,Scholastic Press,Hardcover,374,2008,2008,,2021/08/10,,,read,,,,1,0
3636,"The Giver (The Giver, #1)",Lois Lowry,"Lowry, Lois",,385732554,9780385732550,0,4.12,Ember,Paperback,208,2006,1993,,2021/08/20,,,read,,,,1,0
8852,Macbeth,William Shakespeare,"Shakespeare, William","Folger Shakespeare Library, Barbara A. Mowat, Paul Werstine",743477103,9780743477109,0,3.89,Simon & Schuster,Mass Market Paperback,249,2013,1623,,2021/08/20,,,read,,,,1,0
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,743273567,9780743273565,5,3.93,Scribner,Paperback,180,1925,1925,,2021/08/20,,,read,,,,1,0
9717,The Unbearable Lightness of Being,Milan Kundera,"Kundera, Milan",Michael Henry Heim,571224385,9780571224388,3,4.11,Harper Perennial,Paperback,314,2009,1984,,2025/01/05,,,read,,,,1,0
48855,The Diary of a Young Girl,Anne Frank,"Frank, Anne","Barbara Mooyaart-Doubleday, Otto H. Frank, Mirjam Pressler, Γιάννης Θωμόπουλος, Eleanor Roosevelt, Susan Massotty",,,0,4.20,Bantam,Mass Market Paperback,283,1993,1947,,2024/1/5,,,read,,,,1,0
17165932,"Independent Study (The Testing, #2)",Joelle Charbonneau,"Charbonneau, Joelle",,547959206,9780547959207,0,3.94,Clarion Books,Hardcover,320,2014,2014,,2021/08/20,,,read,,,,1,0
36809135,Where the Crawdads Sing,Delia Owens,"Owens, Delia",,735219117,9780735219113,5,4.37,G.P. Putnam’s Sons,ebook,384,2018,2018,,2024/07/09,,,read,,,,1,0
63094957,The Rachel Incident,Caroline O'Donoghue,"O'Donoghue, Caroline",,593535707,9780593535707,3,4.07,Knopf,Hardcover,304,2023,2023,,2024/07/09,,,read,,,,1,0
46041465,Everything I Know About Love,Dolly Alderton,"Alderton, Dolly",,62968785,9780062968784,4,3.94,Harper,Hardcover,368,2020,2018,,2024/07/09,,,read,,,,1,0
161412621,The Gift of Rain: A Novel,Tan Twan Eng,"Eng, Tan Twan",,,,5,4.28,Weinstein Books,Paperback,448,2009,2007,,2024/07/09,,,read,,,,1,0
15823480,Anna Karenina,Leo Tolstoy,"Tolstoy, Leo","Aylmer Maude, Louise Maude, Dieter Wellershoff, Bruno Goetz, Lev Tolstoj, Léon Tolstoï",345803922,9780345803924,0,4.10,Vintage,Paperback,964,2012,1878,,2021/08/20,currently-reading,currently-reading (#1),currently-reading,,,,1,0
29044,The Secret History,Donna Tartt,"Tartt, Donna",,1400031702,9781400031702,4,4.15,Vintage Books,Paperback,559,2004,1992,,2021/08/16,,,read,,,,1,0
44279110,My Year of Rest and Relaxation,Ottessa Moshfegh,"Moshfegh, Ottessa",,525522131,9780525522133,3,3.60,Penguin Books,Paperback,289,2019,2018,,2021/08/15,,,read,,,,1,0
35959740,Circe,Madeline Miller,"Miller, Madeline",,316556343,9780316556347,5,4.22,"Little, Brown and Company",Hardcover,393,2018,2018,2024/07/09,2021/08/10,,,read,,,,1,0
8492825,"Where She Went (If I Stay, #2)",Gayle Forman,"Forman, Gayle",,525422943,9780525422945,0,3.97,Dutton Juvenile,Hardcover,264,2011,2011,,2021/08/20,,,read,,,,1,0
6400090,The Last Song,Nicholas Sparks,"Sparks, Nicholas",,446547565,9780446547567,0,4.16,Grand Central Publishing,Paperback,390,2010,2009,,2021/08/20,,,read,,,,1,0
5526,Dear John,Nicholas Sparks,"Sparks, Nicholas",,446528056,9780446528054,0,4.04,Warner Books (NY),Hardcover,276,2006,2006,,2021/08/20,,,read,,,,1,0
1381,The Odyssey,Homer,"Homer, Homer","Robert Fagles, Bernard Knox",143039954,9780143039952,0,3.83,Penguin Classics ,Paperback,541,2006,-700,,2021/08/20,,,read,,,,1,0
1420,Hamlet,William Shakespeare,"Shakespeare, William","Harold Bloom, Rex Gibson, Israel Gollancz, Henry Norman Hudson, L.A. Sherman, Max J. Herzberg",521618746,9780521618748,0,4.03,Cambridge University Press,Paperback,289,2005,1601,,2021/08/20,,,read,,,,1,0
25893582,Tell Me Three Things,Julie Buxbaum,"Buxbaum, Julie",,553535641,9780553535648,0,4.00,Delacorte Press,Hardcover,328,2016,2016,,2021/08/20,,,read,,,,1,0
28686840,Holding Up the Universe,Jennifer Niven,"Niven, Jennifer",,385755929,9780385755924,0,3.67,Knopf Books for Young Readers,Hardcover,391,2016,2016,,2021/08/20,,,read,,,,1,0
27161833,"The King Slayer (The Witch Hunter, #2)",Virginia Boecker,"Boecker, Virginia",,316327239,9780316327237,0,3.77,"Little, Brown Books for Young Readers",Hardcover,377,2016,2016,,2021/08/20,,,read,,,,1,0
18190208,"The Witch Hunter (The Witch Hunter, #1)",Virginia Boecker,"Boecker, Virginia",,031632700X,9780316327008,0,3.79,"Little, Brown Books for Young Readers",Hardcover,362,2015,2015,,2021/08/20,,,read,,,,1,0
25785357,"Firstlife (Everlife, #1)",Gena Showalter,"Showalter, Gena",,373211570,9780373211579,0,3.68,Harlequin Teen,Hardcover,467,2016,2016,,2021/08/20,,,read,,,,1,0
25897792,"Into the Dim (Into the Dim, #1)",Janet B.  Taylor,"Taylor, Janet B.",,544602005,9780544602007,0,3.75,Clarion Books,Hardcover,428,2016,2016,,2021/08/20,,,read,,,,1,0
23587115,Spontaneous,Aaron Starmer,"Starmer, Aaron",,,,0,3.33,Dutton Books for Young Readers,ebook,368,2016,2016,,2021/08/20,,,read,,,,1,0
24529123,This Is Where It Ends,Marieke Nijkamp,"Nijkamp, Marieke",,149262246X,9781492622468,0,3.68,Sourcebooks Fire,Hardcover,288,2016,2016,,2021/08/20,,,read,,,,1,0
17838528,The Unexpected Everything,Morgan Matson,"Matson, Morgan",,1481404547,9781481404549,0,3.98,Simon & Schuster Books for Young Readers,Hardcover,519,2016,2016,,2021/08/20,,,read,,,,1,0
10866233,The List,Siobhan Vivian,"Vivian, Siobhan",,545169178,9780545169172,0,3.38, Push,Hardcover,336,2012,2012,,2021/08/20,,,read,,,,1,0
6618272,The Siren,Kiera Cass,"Cass, Kiera",,1440154236,9781440154232,0,3.69,Iuniverse Inc,Paperback,276,2009,2009,,2021/08/20,,,read,,,,1,0
11946245,"Nevermore (Maximum Ride, #8)",James  Patterson,"Patterson, James",,316101842,9780316101844,0,3.89,Little Brown and Company ,Hardcover,368,2012,2012,,2021/08/20,,,read,,,,1,0
